[1, 572]
[2, 552]
[3, 532]
[4, 523]
[5, 523]
[7, 547]
[8, 572]
[9, 615]
[10, 655]
[11, 676]
[16, 391]
[17, 364]
[18, 334]
[19, 326]
[20, 324]
[21, 326]
[22, 337]
[23, 366]
[23, 366]
[24, 388]
[25, 425]
[26, 477]
[27, 531]
[28, 603]
[30, 731]
[31, 676]
[32, 615]
[35, 485]
[36, 458]
[37, 436]
[38, 425]
[39, 419]
[40, 425]
[41, 440]
[42, 469]
[43, 497]
[44, 550]
[47, 441]
[50, 340]
[51, 328]
[52, 324]
[54, 346]
[55, 372]
[56, 406]
[57, 443]
[58, 490]
[59, 544]
[60, 621]
[61, 644]
[62, 619]
[63, 601]
[64, 593]
[65, 594]
[66, 600]
[67, 620]
[68, 639]
[69, 677]
[70, 710]
[71, 758]
[73, 675]
[74, 610]
[76, 515]
[77, 481]
[78, 452]
[79, 434]
[80, 420]
[81, 416]
[82, 418]
[83, 428]
[84, 442]
[85, 470]
[86, 504]
[87, 539]
[88, 590]
[90, 697]
[91, 681]
[92, 629]
[93, 573]
[94, 524]
[95, 483]
[96, 448]
[96, 452]
[97, 424]
[98, 408]
[99, 395]
[100, 387]
[101, 395]
[102, 398]
[103, 430]
[104, 462]
[105, 510]
[106, 565]
[107, 583]
[108, 524]
[109, 469]
[110, 425]
[111, 392]
[112, 365]
[113, 345]
[114, 341]
[115, 340]
[116, 356]
[117, 374]
[118, 410]
[119, 454]
[120, 506]
[121, 571]
[122, 581]
[123, 579]
[124, 590]
[125, 611]
[126, 639]
[127, 674]
[128, 740]
[129, 777]
[130, 835]
[131, 908]
[133, 828]
[134, 778]
[135, 742]
[136, 695]
[137, 674]
[138, 662]
[139, 655]
[140, 656]
[141, 664]
[142, 680]
[143, 702]
[144, 740]
[145, 784]
[146, 823]
[147, 808]
[148, 766]
[149, 723]
[150, 714]
[151, 724]
[152, 746]
[153, 775]
[154, 813]
[155, 862]
[156, 876]
[157, 851]
[158, 830]
[159, 822]
[160, 825]
[161, 838]
[162, 855]
[163, 885]
[164, 920]
[165, 941]
[166, 928]
[167, 904]
[168, 905]
[169, 907]
[177, 977]
[178, 961]
[179, 953]
[180, 949]
[181, 953]
[182, 970]
[183, 954]
[184, 938]
[185, 934]
[186, 940]
[187, 941]
[188, 926]
[189, 923]
[190, 926]
[199, 890]
